Player Name,Position,Team,Bye Week,Overall Rank,Likely Available,Drafted,My Player
Bijan Robinson,RB,ATL,5,1,1,No,No
Jahmyr Gibbs,RB,DET,8,2,2,No,No
Derrick Henry,RB,BAL,7,3,3,No,No
Christian McCaffrey,RB,SF,14,4,4,No,No
Saquon Barkley,RB,PHI,9,5,5,No,No
Ja'Marr Chase,WR,CIN,10,6,6,No,No
De'Von Achane,RB,MIA,12,7,7,No,No
Ashton Jeanty,RB,BSU,8,8,8,No,No
Justin Jefferson,WR,MIN,6,9,9,No,No
CeeDee Lamb,WR,DAL,10,10,10,No,No
Malik Nabers,WR,NYG,14,11,11,No,No
Nico Collins,WR,HOU,6,12,12,No,No
Josh Jacobs,RB,GB,5,13,13,No,No
Jonathan Taylor,RB,IND,11,14,14,No,No
Chase Brown,RB,CIN,10,15,15,No,No
Bucky Irving,RB,TB,9,16,16,No,No
Puka Nacua,WR,LAR,8,17,17,No,No
Amon-Ra St. Brown,WR,DET,8,18,18,No,No
Brian Thomas Jr.,WR,JAC,8,19,19,No,No
James Cook,RB,BUF,7,20,20,No,No
A.J. Brown,WR,PHI,9,21,21,No,No
Tee Higgins,WR,CIN,10,22,22,No,No
Drake London,WR,ATL,5,23,23,No,No
Kenneth Walker III,RB,SEA,8,24,24,No,No
Omarion Hampton,RB,UNC,12,25,25,No,No
Kyren Williams,RB,LAR,8,26,26,No,No
Brock Bowers,TE,LV,8,27,27,No,No
Tyreek Hill,WR,MIA,12,28,28,No,No
Ladd McConkey,WR,LAC,12,29,29,No,No
Josh Allen,QB,BUF,7,30,30,No,No
Lamar Jackson,QB,BAL,7,31,31,No,No
Jayden Daniels,QB,WAS,12,32,32,No,No
Breece Hall,RB,NYJ,9,33,33,No,No
Davante Adams,WR,NYJ,8,34,34,No,No
Chuba Hubbard,RB,CAR,14,35,35,No,No
James Conner,RB,ARI,8,36,36,No,No
Alvin Kamara,RB,NO,11,37,37,No,No
Garrett Wilson,WR,NYJ,9,38,38,No,No
DK Metcalf,WR,SEA,5,39,39,No,No
Trey McBride,TE,ARI,8,40,40,No,No
Terry McLaurin,WR,WAS,12,41,41,No,No
Jaxon Smith-Njigba,WR,SEA,8,42,42,No,No
Courtland Sutton,WR,DEN,12,43,43,No,No
Joe Burrow,QB,CIN,10,44,44,No,No
Jalen Hurts,QB,PHI,9,45,45,No,No
Marvin Harrison Jr.,WR,ARI,8,46,46,No,No
David Montgomery,RB,DET,8,47,47,No,No
George Kittle,TE,SF,14,48,48,No,No
Xavier Worthy,WR,KC,10,49,49,No,No
D.J. Moore,WR,CHI,5,50,50,No,No
Tank Dell,WR,HOU,6,51,51,No,No
Treveyon Henderson,RB,OSU,14,52,52,No,No
George Pickens,WR,PIT,10,53,53,No,No
DeVonta Smith,WR,PHI,9,54,54,No,No
Tony Pollard,RB,TEN,10,55,55,No,No
Travis Hunter,WR,COL,8,56,56,No,No
