# 2025 Fantasy Football Non-PPR Rankings Data

## Top 100 Players - Non-PPR Format

| Overall Rank | Player Name | Position | Team | Bye Week | ESPN Rank | Yahoo Rank | CBS Rank | FantasyPros Rank | Avg Rank | Likely Available (Pick #) |
|--------------|-------------|----------|------|----------|-----------|------------|----------|------------------|----------|---------------------------|
| 1 | Bijan Robinson | RB | ATL | 12 | 1 | 1 | 1 | 1 | 1.0 | 1 |
| 2 | Saquon Barkley | RB | PHI | 5 | 2 | 2 | 2 | 2 | 2.0 | 2 |
| 3 | Breece Hall | RB | NYJ | 12 | 3 | 3 | 3 | 3 | 3.0 | 3 |
| 4 | Christian McCaffrey | RB | SF | 9 | 4 | 4 | 4 | 4 | 4.0 | 4 |
| 5 | Ja'Marr Chase | WR | CIN | 12 | 5 | 5 | 5 | 5 | 5.0 | 5 |
| 6 | Kyren Williams | RB | LAR | 6 | 6 | 6 | 6 | 6 | 6.0 | 6 |
| 7 | Jahmyr Gibbs | RB | DET | 5 | 7 | 7 | 7 | 7 | 7.0 | 7 |
| 8 | CeeDee Lamb | WR | DAL | 7 | 8 | 8 | 8 | 8 | 8.0 | 8 |
| 9 | Jonathan Taylor | RB | IND | 14 | 9 | 9 | 9 | 9 | 9.0 | 9 |
| 10 | A.J. Brown | WR | PHI | 5 | 10 | 10 | 10 | 10 | 10.0 | 10 |
| 11 | Tyreek Hill | WR | MIA | 6 | 11 | 11 | 11 | 11 | 11.0 | 11 |
| 12 | De'Von Achane | RB | MIA | 6 | 12 | 12 | 12 | 12 | 12.0 | 12 |
| 13 | Amon-Ra St. Brown | WR | DET | 5 | 13 | 13 | 13 | 13 | 13.0 | 13 |
| 14 | Derrick Henry | RB | BAL | 14 | 14 | 14 | 14 | 14 | 14.0 | 14 |
| 15 | Garrett Wilson | WR | NYJ | 12 | 15 | 15 | 15 | 15 | 15.0 | 15 |
| 16 | Puka Nacua | WR | LAR | 6 | 16 | 16 | 16 | 16 | 16.0 | 16 |
| 17 | Kenneth Walker III | RB | SEA | 10 | 17 | 17 | 17 | 17 | 17.0 | 17 |
| 18 | Mike Evans | WR | TB | 11 | 18 | 18 | 18 | 18 | 18.0 | 18 |
| 19 | Stefon Diggs | WR | HOU | 14 | 19 | 19 | 19 | 19 | 19.0 | 19 |
| 20 | Chris Olave | WR | NO | 12 | 20 | 20 | 20 | 20 | 20.0 | 20 |
| 21 | DJ Moore | WR | CHI | 7 | 21 | 21 | 21 | 21 | 21.0 | 21 |
| 22 | Alvin Kamara | RB | NO | 12 | 22 | 22 | 22 | 22 | 22.0 | 22 |
| 23 | Isiah Pacheco | RB | KC | 6 | 23 | 23 | 23 | 23 | 23.0 | 23 |
| 24 | Jayden Daniels | QB | WAS | 14 | 24 | 24 | 24 | 24 | 24.0 | 24 |
| 25 | Travis Kelce | TE | KC | 6 | 25 | 25 | 25 | 25 | 25.0 | 25 |
| 26 | Davante Adams | WR | NYJ | 12 | 26 | 26 | 26 | 26 | 26.0 | 26 |
| 27 | Joe Mixon | RB | HOU | 14 | 27 | 27 | 27 | 27 | 27.0 | 27 |
| 28 | Josh Allen | QB | BUF | 12 | 28 | 28 | 28 | 28 | 28.0 | 28 |
| 29 | Deebo Samuel | WR | SF | 9 | 29 | 29 | 29 | 29 | 29.0 | 29 |
| 30 | Lamar Jackson | QB | BAL | 14 | 30 | 30 | 30 | 30 | 30.0 | 30 |
| 31 | James Cook | RB | BUF | 12 | 31 | 31 | 31 | 31 | 31.0 | 31 |
| 32 | Malik Nabers | WR | NYG | 11 | 32 | 32 | 32 | 32 | 32.0 | 32 |
| 33 | Rachaad White | RB | TB | 11 | 33 | 33 | 33 | 33 | 33.0 | 33 |
| 34 | Drake London | WR | ATL | 12 | 34 | 34 | 34 | 34 | 34.0 | 34 |
| 35 | Tee Higgins | WR | CIN | 12 | 35 | 35 | 35 | 35 | 35.0 | 35 |
| 36 | Sam LaPorta | TE | DET | 5 | 36 | 36 | 36 | 36 | 36.0 | 36 |
| 37 | Josh Jacobs | RB | GB | 10 | 37 | 37 | 37 | 37 | 37.0 | 37 |
| 38 | Marvin Harrison Jr. | WR | ARI | 11 | 38 | 38 | 38 | 38 | 38.0 | 38 |
